                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8298,                  5.464,                 4.3361,                      0,                      0,                      0,                      0,                 3.6625,                 4.9371,                 4.1556,              7.854e-05,              7.854e-05,              7.854e-05
                      2,                 2.9601,                 5.4131,                 4.3403,                      0,                      0,                      0,                      0,                 3.6081,                 5.0088,                 4.1532,             0.00016389,             0.00016389,             0.00016389
                      3,                 2.7723,                 5.2883,                  4.281,                      0,                      0,                      0,                      0,                 3.6507,                 4.9348,                  4.152,             0.00024891,             0.00024891,             0.00024891
                      4,                 2.9982,                 5.3551,                  4.216,                      0,                      0,                      0,                      0,                 3.7517,                 4.7921,                 4.1513,             0.00033359,             0.00033359,             0.00033359
                      5,                 2.8775,                  5.269,                 4.1914,                      0,                      0,                      0,                      0,                  3.817,                 4.7236,                 4.1556,             0.00041792,             0.00041792,             0.00041792
                      6,                 2.8309,                 5.3423,                 4.1217,                      0,                      0,                      0,                      0,                 3.7705,                 4.8101,                 4.1681,             0.00050192,             0.00050192,             0.00050192
                      7,                 2.6511,                 5.1453,                 4.0017,                      0,                      0,                      0,                      0,                 3.8207,                 4.7238,                  4.175,             0.00058558,             0.00058558,             0.00058558
                      8,                 2.7563,                 5.0835,                 3.9665,                      0,                      0,                      0,                      0,                 3.7212,                 4.8874,                 4.1942,              0.0006689,              0.0006689,              0.0006689
                      9,                 2.5453,                 4.9792,                 3.7895,                      0,                      0,                      0,                      0,                  3.565,                 5.0276,                 4.1775,             0.00070269,             0.00070269,             0.00070269
                     10,                 2.5952,                 4.6473,                 3.7746,                      0,                      0,                      0,                      0,                  3.782,                  4.411,                  4.048,             0.00070128,             0.00070128,             0.00070128
                     11,                 2.6928,                 4.6813,                 3.6136,                0.02778,                      1,                  0.995,                0.34825,                 2.6106,                 3.0316,                 3.3412,             0.00069986,             0.00069986,             0.00069986
                     12,                 2.5015,                 4.5363,                 3.5208,                0.50316,                      1,                  0.995,                 0.4975,                 2.1911,                 2.8726,                 3.2504,             0.00069845,             0.00069845,             0.00069845
                     13,                 2.7074,                 4.4822,                 3.5011,                0.03125,                      1,                  0.995,                 0.4975,                  2.453,                 3.1557,                 3.2476,             0.00069704,             0.00069704,             0.00069704
                     14,                 2.5248,                 4.2145,                 3.3927,                0.39777,                      1,                  0.995,                0.43117,                 2.2826,                 2.6458,                 3.8568,             0.00069562,             0.00069562,             0.00069562
                     15,                 2.5444,                 3.9441,                 3.4102,                0.49976,                      1,                  0.995,                 0.4975,                 2.2611,                 7.0785,                 3.3562,             0.00069421,             0.00069421,             0.00069421
                     16,                 2.4981,                 3.6489,                 3.3446,                0.66848,                      1,                  0.995,                 0.3184,                  2.524,                 5.5926,                 3.7556,             0.00069279,             0.00069279,             0.00069279
                     17,                 2.2542,                 3.7689,                 3.1828,                0.07143,                      1,                  0.995,                  0.597,                 1.3558,                 4.0343,                 2.7852,             0.00069138,             0.00069138,             0.00069138
                     18,                 2.3106,                 3.7614,                 3.2147,                0.07143,                      1,                  0.995,                  0.597,                 1.9704,                 4.6181,                 3.4899,             0.00068997,             0.00068997,             0.00068997
                     19,                 2.3142,                 3.7447,                 3.1141,                    0.2,                      1,                  0.995,                  0.597,                 1.8523,                 3.8092,                 3.0858,             0.00068855,             0.00068855,             0.00068855
                     20,                 2.2443,                 3.5764,                 3.0287,                    0.2,                      1,                  0.995,                  0.597,                 2.9697,                 4.4902,                 3.7687,             0.00068714,             0.00068714,             0.00068714
                     21,                 2.2068,                 3.5313,                 3.0668,                   0.25,                      1,                  0.995,                  0.398,                  2.848,                  3.897,                 3.4097,             0.00068573,             0.00068573,             0.00068573
                     22,                 2.1041,                 3.4556,                 2.9437,                0.16667,                      1,                  0.995,                 0.1194,                 2.9787,                 3.5687,                 3.2556,             0.00068431,             0.00068431,             0.00068431
                     23,                 1.9417,                 3.3716,                 2.8551,                0.71223,                      1,                  0.995,                0.22387,                 2.4996,                 3.1198,                 2.9464,              0.0006829,              0.0006829,              0.0006829
                     24,                 1.9804,                  3.312,                 2.7892,                0.64696,                      1,                  0.995,                  0.597,                   1.76,                 2.9929,                 2.2663,             0.00068148,             0.00068148,             0.00068148
                     25,                 2.0845,                 3.1471,                 2.9277,                0.16667,                      1,                  0.995,                  0.398,                 1.6173,                 3.0371,                 2.2578,             0.00068007,             0.00068007,             0.00068007
                     26,                 1.8772,                 3.1432,                 2.7024,                0.16667,                      1,                  0.995,                  0.796,                 1.2184,                 3.3057,                  2.034,             0.00067866,             0.00067866,             0.00067866
                     27,                 1.8708,                 3.2603,                 2.7235,                    0.5,                      1,                  0.995,                  0.796,                  1.262,                 3.7597,                 2.1753,             0.00067724,             0.00067724,             0.00067724
                     28,                 1.7998,                 3.1688,                 2.6936,                    0.5,                      1,                  0.995,                  0.796,                 1.0581,                 3.4247,                   2.01,             0.00067583,             0.00067583,             0.00067583
                     29,                  1.713,                 3.1227,                 2.6674,                    0.5,                      1,                  0.995,                 0.6965,                 1.3941,                 2.9572,                 2.4724,             0.00067442,             0.00067442,             0.00067442
                     30,                 1.8109,                 3.2391,                 2.7182,                      1,                      1,                  0.995,                 0.8955,                 1.1708,                 3.5401,                 2.1524,               0.000673,               0.000673,               0.000673
                     31,                   1.71,                 3.1722,                 2.6118,                0.33333,                      1,                  0.995,                 0.6965,                0.99825,                 2.7624,                  2.278,             0.00067159,             0.00067159,             0.00067159
                     32,                 1.5454,                 3.0304,                 2.4595,                    0.2,                      1,                  0.995,                  0.796,                 1.0922,                 3.7128,                 2.5871,             0.00067017,             0.00067017,             0.00067017
                     33,                 1.6436,                 2.9975,                 2.5534,                    0.5,                      1,                  0.995,                  0.597,                   1.14,                 4.9338,                 2.6518,             0.00066876,             0.00066876,             0.00066876
                     34,                 1.5121,                 2.8159,                  2.449,                    0.2,                      1,                  0.995,                 0.8955,                0.93326,                  6.688,                 2.0345,             0.00066735,             0.00066735,             0.00066735
                     35,                 1.4465,                 2.8637,                 2.4369,                0.66548,                      1,                  0.995,                 0.6965,                0.94466,                 4.1967,                 1.4813,             0.00066593,             0.00066593,             0.00066593
                     36,                 1.6589,                 2.8826,                 2.4897,                0.88824,                      1,                  0.995,                  0.796,                 0.7539,                 3.6044,                 1.3881,             0.00066452,             0.00066452,             0.00066452
                     37,                 1.4869,                 2.8741,                 2.3996,                0.96892,                      1,                  0.995,                  0.796,                 0.8379,                 6.4223,                 1.5167,             0.00066311,             0.00066311,             0.00066311
                     38,                 1.5137,                 2.9102,                 2.3516,                0.95481,                      1,                  0.995,                  0.796,                 1.2646,                  8.892,                 2.0966,             0.00066169,             0.00066169,             0.00066169
